Front_HalfShaft Trq [Nm]	Rear_HalfShaft_Trq [Nm]
1988.99514	1266.032947
1929.158605	1267.830409
1863.440129	1270.24387
1788.130496	1273.45136
1703.77461	1277.079805
1613.094028	1281.218184
1528.818357	1285.877845
1438.371808	1290.930419
1340.492509	1295.789978
1230.312158	1230.312158
1119.534334	1119.534334
1022.285832	1022.285832
959.4019981	959.4019981
918.6852307	918.6852307
883.6929817	883.6929817
848.7642006	848.7642006
826.1184899	826.1184899
803.1080481	803.1080481
783.6916478	783.6916478
765.7260047	765.7260047
752.602262	752.602262
754.8121806	754.8121806
747.3569591	747.3569591
750.2483888	750.2483888
752.4044635	752.4044635
752.150125	752.150125
750.5001566	750.5001566
775.8671789	775.8671789
810.5913376	810.5913376
840.1112094	840.1112094
858.7162572	858.7162572
907.0205735	907.0205735
955.4688838	955.4688838
994.9284189	994.9284189
1002.222098	1002.222098
1006.367664	1006.367664
1027.97592	1027.97592
1076.718313	1076.718313
1117.904924	1117.904924
1146.686535	1146.686535
1169.089347	1169.089347
1195.065475	1195.065475
1211.557731	1211.557731
1229.387448	1229.387448
1249.654923	1249.654923
1268.167236	1268.167236
1295.096961	1295.096961
1316.271794	1316.271794
1330.252994	1330.252994
1337.004198	1337.004198
1336.166954	1336.166954
1333.008912	1333.008912
1329.284682	1329.284682
1327.381755	1327.381755
1326.240296	1326.240296
1325.034264	1325.034264
1325.330418	1325.330418
1323.016362	1323.016362
1320.535825	1320.535825
1315.672447	1315.672447
1310.839466	1310.839466
1307.247544	1307.247544
1304.956863	1304.956863
1300.540518	1300.540518
1293.403098	1293.403098
1289.997475	1289.997475
1300.342621	1300.342621
1316.328778	1316.328778
1323.766953	1323.766953
1324.036301	1324.036301
1319.056911	1319.056911
1310.827853	1310.827853
1302.624625	1302.624625
1294.150875	1294.150875
1287.415257	1287.415257
1287.134252	1287.134252
1289.875501	1289.875501
1293.623998	1293.623998
1297.231261	1297.231261
1291.786919	1291.786919
1279.139847	1279.139847
1267.158887	1267.158887
1252.779326	1252.779326
1239.462933	1239.462933
1234.154205	1234.154205
1235.403314	1235.403314
1243.480155	1243.480155
1250.460117	1250.460117
1254.818518	1254.818518
1251.629911	1251.629911
1247.250731	1247.250731
1246.926877	1246.926877
1247.79319	1247.79319
1247.891534	1247.891534
1252.000391	1252.000391
1263.855838	1263.855838
1282.52958	1282.52958
1302.872484	1302.872484
1326.616905	1326.616905
1346.254807	1346.254807
1367.043813	1367.043813
1390.730245	1390.730245
1406.90312	1406.90312
1428.034027	1428.034027
1458.980524	1458.980524
1495.117193	1472.798425
1523.522761	1468.59723
1552.535881	1465.169414
1597.470393	1463.60113
1650.629919	1462.174837
1714.868868	1459.883665
1787.055724	1457.018248
1869.412882	1453.570008
1935.189764	1449.611141
2005.895945	1445.03194
2083.432477	1440.953166
2160.255605	1436.681228
2232.918932	1431.916485
2299.795651	1426.980799
2363.031553	1422.105702
2426.917898	1417.384501
2489.678437	1412.728935
2547.589689	1407.932354
2605.51085	1403.052378
2660.819224	1398.288709
2708.90652	1393.472828
2752.682089	1388.671713
2759.610934	1384.119931
2753.322067	1380.970722
2749.13409	1378.808542
2745.004542	1376.689671
2740.938683	1374.603702
2736.9352	1372.549889
2732.992921	1370.527622
2729.11039	1368.53615
2725.286808	1366.575049
2721.520797	1364.643612
2717.811866	1362.741571
2714.158353	1360.868082
2710.559539	1359.02276
2707.014429	1357.205091
2703.52211	1355.414602
2700.081584	1353.650776
2696.691987	1351.913164
2693.352417	1350.201299
2690.061691	1348.514684
2686.816378	1346.85197
2683.562574	1345.185597
2680.329759	1343.529938
2677.144906	1341.898655
2674.003585	1340.289713
2670.896992	1338.698683
2667.8358	1337.130828
2664.819204	1335.585812
2661.846787	1334.063418
2658.9178	1332.563265
2656.030858	1331.084651
2653.185922	1329.627542
2650.382287	1328.191581
2647.618885	1326.776228
2644.895443	1325.381332
2642.211302	1324.00656
2639.565777	1322.651562
2636.958599	1321.316195
2634.388525	1319.999833
2631.787053	1318.668261
2629.17367	1317.330745
2626.59753	1316.011954
2624.057621	1314.711711
2621.554218	1313.430148
2619.085847	1312.166529
2614.55706	1310.920584
2540.663957	1309.692605
2460.008419	1308.48541
2387.001451	1309.538518
2327.450112	1312.030733
2276.895602	1314.386416
2228.618585	1316.164118
2182.750942	1317.570308
2144.002068	1318.938915
2107.426846	1320.305974
2080.766643	1321.463614
2057.667284	1322.559787
2041.374559	1323.330218
2027.42316	1323.947553
2031.822843	1324.336577
2038.12266	1324.630864
2045.541536	1324.239771
2044.402632	1323.671715
2042.388014	1323.078586
2044.494466	1322.817032
2039.885992	1322.646869
2041.904503	1322.312121
2039.918461	1322.202686
2037.289999	1321.895211
2038.39213	1321.692979
2037.175637	1321.552196
2035.355128	1321.275978
2033.791875	1321.063617
2038.78282	1320.89877
2038.104649	1320.731418
2042.062225	1320.314331
2047.056579	1320.07006
2052.573147	1319.698052
2063.463762	1319.247512
2085.256366	1318.765151
2109.903898	1318.073678
2135.432784	1316.924326
2164.635778	1315.581182
2193.520746	1314.174486
2216.513533	1312.59727
2237.659271	1310.969122
2259.691134	1309.529253
2280.186047	1308.162217
2299.110754	1306.731849
2337.08014	1305.315637
2395.57002	1303.940172
2456.204001	1301.826824
2517.484862	1298.750319
2573.677193	1295.400641
2579.715446	1291.965749
2573.859149	1289.050957
2572.015848	1288.079646
2570.180991	1287.140266
2568.350701	1286.203565
2566.532193	1285.272905
2564.724022	1284.347612
2562.937736	1283.433435
2561.172486	1282.530029
2559.428002	1281.637251
2557.70429	1280.755101
2556.00133	1279.883569
2554.31832	1279.022252
2552.655545	1278.171284
2551.011955	1277.330144
2549.387809	1276.498947
2547.782603	1275.677446
2546.196095	1274.865513
2544.627758	1274.062881
2543.0782	1273.26985
2541.546929	1272.486178
2540.033722	1271.711749
2538.503317	1270.928979
2536.983221	1270.151332
2535.480429	1269.382487
2533.994949	1268.622498
2532.526012	1267.87098
2531.073425	1267.127828
2529.637578	1266.393234
2528.218008	1265.666972
2526.814473	1264.948914
2525.426778	1264.238961
2524.055273	1263.537286
2522.699212	1262.843518
2521.358376	1262.15754
2520.032342	1261.479137
2518.721465	1260.808483
2517.425034	1260.145225
2516.14343	1259.489546
2514.857569	1258.831937
2513.572137	1258.174597
2512.297978	1257.522962
2511.037881	1256.878502
2509.791423	1256.241023
2508.558185	1255.610311
2507.338256	1254.986406
2502.600887	1252.602098
2498.044571	1250.282069
2307.762376	1248.005834
2097.64813	1245.746984
1915.542051	1249.596329
1741.817948	1255.84161
1585.890295	1261.187558
1454.784347	1266.100993
1355.093586	1270.523741
1283.925489	1274.212525
1223.449509	1223.449509
1170.78141	1170.78141
1142.664372	1142.664372
1138.90068	1138.90068
1147.792469	1147.792469
1157.774592	1157.774592
1167.053725	1167.053725
1173.209956	1173.209956
1176.501131	1176.501131
1180.747078	1180.747078
1214.585154	1214.585154
1254.627304	1254.627304
1272.91437	1272.91437
1279.75784	1279.75784
1276.839226	1276.839226
1273.716876	1273.716876
1271.700672	1271.700672
1269.466874	1269.466874
1276.266155	1274.142415
1293.478097	1273.678986
1306.352299	1272.468233
1310.009528	1271.143491
1315.521686	1269.964887
1323.993759	1269.083778
1329.398366	1268.161192
1327.846748	1267.111381
1323.483292	1266.132695
1320.343228	1265.380454
1316.080971	1264.737744
1312.085237	1264.053904
1306.733445	1263.395557
1298.052698	1262.73509
1278.981777	1262.11868
1256.635342	1256.635342
1223.673493	1223.673493
1185.575499	1185.575499
1171.519127	1171.519127
1163.588437	1163.588437
1157.71585	1157.71585
1153.764087	1153.764087
1158.027315	1158.027315
1170.871818	1170.871818
1158.553667	1158.553667
1141.205886	1141.205886
1122.672517	1122.672517
1116.005158	1116.005158
1112.794072	1112.794072
1115.0375	1115.0375
1118.167327	1118.167327
1119.540647	1119.540647
1116.552441	1116.552441
1107.03669	1107.03669
1095.302911	1095.302911
1088.300893	1088.300893
1081.471958	1081.471958
1069.893469	1069.893469
1057.086138	1057.086138
1046.803527	1046.803527
1040.151933	1040.151933
1040.740447	1040.740447
1041.577714	1041.577714
1037.649235	1037.649235
1027.607941	1027.607941
1020.69653	1020.69653
1019.462682	1019.462682
1020.714481	1020.714481
1022.094744	1022.094744
1024.238471	1024.238471
1023.495163	1023.495163
1023.231414	1023.231414
1022.817513	1022.817513
1022.215113	1022.215113
1048.427016	1048.427016
1080.32046	1080.32046
1050.08293	1050.08293
1051.031516	1051.031516
1065.669801	1065.669801
1081.284756	1081.284756
1103.201568	1103.201568
1135.117126	1135.117126
1170.734209	1170.734209
1201.835473	1201.835473
1203.211028	1203.211028
1205.452135	1205.452135
1213.616862	1213.616862
1261.0318	1261.0318
1324.687748	1324.687748
1384.357191	1320.208753
1434.588695	1313.127211
1501.314425	1309.504195
1580.916083	1306.575982
1665.539516	1302.96799
1749.35414	1298.760285
1822.027304	1294.241958
1886.053977	1289.5973
1951.679255	1285.113422
2037.879513	1280.781726
2124.998224	1276.312593
2202.002008	1271.1223
2259.185456	1265.685724
2303.457566	1260.413931
2347.709999	1255.632331
2387.412428	1251.198414
2441.769069	1246.727251
2480.794848	1242.301303
2470.914388	1237.581844
2464.668504	1234.369077
2458.469124	1231.206453
2452.331885	1228.075823
2446.25609	1224.976773
2440.240544	1221.908689
2434.284088	1218.870971
2428.385901	1215.863189
2422.544248	1212.884459
2416.758057	1209.934217
2411.026277	1207.011922
2405.345104	1204.115661
2399.71629	1201.246264
2394.139033	1198.403333
2376.709833	1195.58654
2239.843084	1192.795557
2098.88364	1190.050202
1951.274121	1190.087708
1806.364621	1191.661643
1669.606095	1193.636082
1542.028201	1195.709211
1433.503451	1197.733691
1327.133057	1199.67734
1229.859123	1201.290931
1147.052845	1147.052845
1073.778076	1073.778076
1027.939962	1027.939962
1011.908076	1011.908076
1009.829652	1009.829652
1006.635336	1006.635336
1001.528195	1001.528195
1007.966753	1007.966753
995.8738618	995.8738618
985.4460167	985.4460167
980.697029	980.697029
978.3631139	978.3631139
973.9951135	973.9951135
944.0793968	944.0793968
927.2781288	927.2781288
917.1534569	917.1534569
910.9464404	910.9464404
935.09178	935.09178
971.133194	971.133194
996.8713613	996.8713613
1011.015986	1011.015986
1022.355084	1022.355084
1023.939181	1023.939181
1019.016692	1019.016692
1013.014636	1013.014636
1025.902921	1025.902921
1047.018539	1047.018539
1063.864248	1063.864248
1093.852047	1093.852047
1127.064424	1127.064424
1147.82569	1147.82569
1147.535228	1147.535228
1135.664337	1135.664337
1123.679571	1123.679571
1115.380861	1115.380861
1111.612902	1111.612902
1108.558975	1108.558975
1104.352337	1104.352337
1096.65522	1096.65522
1087.360494	1087.360494
1079.301163	1079.301163
1042.819968	1042.819968
991.3423635	991.3423635
957.7949271	957.7949271
946.1959016	946.1959016
957.5213117	957.5213117
1001.088267	1001.088267
1059.824523	1059.824523
1113.407425	1113.407425
1156.13217	1156.13217
1182.848007	1182.848007
1194.796221	1194.796221
1197.944486	1197.944486
1200.557809	1200.557809
1213.347089	1213.347089
1229.948208	1229.948208
1240.604476	1240.604476
1243.444127	1243.444127
1240.242475	1240.242475
1245.775059	1245.775059
1261.040709	1261.040709
1264.527873	1264.527873
1244.667435	1244.667435
1209.137736	1209.137736
1177.827591	1177.827591
1166.127835	1166.127835
1171.302503	1171.302503
1178.186541	1178.186541
1178.102366	1178.102366
1176.861413	1176.861413
1180.360597	1180.360597
1182.321176	1182.321176
1190.59336	1190.59336
1212.243642	1212.243642
1228.125157	1228.125157
1220.283123	1220.283123
1181.966098	1181.966098
1148.522493	1148.522493
1133.592736	1133.592736
1137.217417	1137.217417
1148.911895	1148.911895
1164.615338	1164.615338
1197.490879	1197.490879
1231.721035	1231.721035
1262.506866	1262.506866
1284.681912	1284.681912
1308.685077	1308.685077
1343.87847	1343.87847
1392.384683	1378.859593
1445.080168	1374.24227
1483.39573	1368.540358
1522.646579	1364.435125
1584.167134	1360.826504
1640.895496	1357.098819
1726.635788	1352.69092
1830.920333	1348.221708
1928.931432	1342.932508
2023.506683	1336.89705
2110.262883	1330.76566
2198.914242	1324.560677
2285.802312	1318.38009
2368.640304	1312.006198
2440.982136	1305.500392
2505.905349	1298.940916
2564.143318	1292.505631
2565.313973	1286.598948
2556.299437	1282.054081
2547.52837	1277.55905
2538.873452	1273.124881
2530.331849	1268.749356
2521.900876	1264.431066
2513.578644	1260.16901
2505.362234	1255.961681
2497.248825	1251.807613
2489.237277	1247.706176
2481.324994	1243.656037
2473.508908	1239.655615
2465.787241	1235.703963
2458.157871	1231.799981
2450.618373	1227.942413
2443.16714	1224.130411
2435.801862	1220.362783
2428.520673	1216.638554
2421.322479	1212.957141
2414.204761	1209.317255
2407.166157	1205.718174
2400.204271	1202.158668
2393.318248	1198.638269
2386.506449	1195.156136
2379.767372	1191.711488
2373.099155	1188.303363
2366.500717	1184.931189
2359.970627	1181.594227
2353.507175	1178.291595
2347.109673	1175.022919
2340.776476	1171.78736
2334.506309	1168.584252
2328.249867	1165.400596
2322.045803	1162.231678
2315.902189	1159.093611
2309.81767	1155.985923
2303.791089	1152.908018
2297.82132	1149.859314
2291.907596	1146.839411
2286.0485	1143.847586
2280.243649	1140.883626
2274.491659	1137.946833
2268.79122	1135.03653
2263.14167	1132.152367
2257.542744	1129.294201
2251.993143	1126.461375
2246.49268	1123.653779
2241.039429	1120.870442
2235.632715	1118.111003
2230.265355	1115.371882
2224.942765	1112.655694
2219.663769	1109.961891
2214.428261	1107.290406
2209.234762	1104.640496
2204.082516	1102.011761
2198.971106	1099.403983
2193.899851	1096.816812
2188.867991	1094.249861
2183.866897	1091.698833
2178.898712	1089.164703
2173.967823	1086.64966
2169.074245	1084.15375
2164.217007	1081.676486
2159.395793	1079.217698
2154.609666	1076.776912
2149.858335	1074.353967
2145.140856	1071.94839
2140.456656	1069.559879
2135.804862	1067.18799
2131.185257	1064.832601
2126.59727	1062.493425
2122.04007	1060.170038
2117.513761	1057.86248
2113.017503	1055.570331
2108.550506	1053.293185
2104.112894	1051.031093
2099.703859	1048.783652
2095.323245	1046.550773
2090.969983	1044.331919
2086.643942	1042.127011
2082.344936	1039.935952
2078.07226	1037.758387
2073.825466	1035.594084
2069.603544	1033.44253
2065.407299	1031.304115
2061.237489	1029.17922
2057.093366	1027.06748
2052.972536	1024.967693
2048.875752	1022.880208
2044.80208	1020.804566
1893.595292	1018.740555
1639.852017	1016.688008
1411.200453	1016.397594
1218.440668	1020.312262
1063.511343	1025.413511
943.3062646	943.3062646
844.0316297	844.0316297
787.0862365	787.0862365
777.6606964	777.6606964
793.3771879	793.3771879
808.2696974	808.2696974
814.7792852	814.7792852
816.0574765	816.0574765
815.9274864	815.9274864
815.5066237	815.5066237
825.8455169	825.8455169
840.0074133	840.0074133
853.6833227	853.6833227
864.1901465	864.1901465
874.0490876	874.0490876
884.9044851	884.9044851
895.9175631	895.9175631
903.9151557	903.9151557
904.1913539	904.1913539
898.8067572	898.8067572
896.3296242	896.3296242
893.9942238	893.9942238
887.9742654	887.9742654
881.7995478	881.7995478
876.9524002	876.9524002
875.8419938	875.8419938
882.5924214	882.5924214
887.8597265	887.8597265
886.0867224	886.0867224
880.3955797	880.3955797
872.3056819	872.3056819
859.561983	859.561983
844.4767423	844.4767423
833.9529647	833.9529647
829.1045811	829.1045811
827.3302919	827.3302919
825.1841976	825.1841976
822.2763446	822.2763446
837.2443922	837.2443922
859.9317778	859.9317778
866.6331307	866.6331307
871.1935778	871.1935778
874.0697837	874.0697837
882.0759389	882.0759389
900.3230879	900.3230879
920.0704233	920.0704233
938.5996928	938.5996928
957.9799359	957.9799359
976.4715644	976.4715644
995.2102735	995.2102735
1014.548842	1014.548842
1026.333947	1026.333947
1034.088048	1034.088048
1044.498082	1044.498082
1042.305809	1042.305809
1036.895621	1036.895621
1025.675581	1025.675581
1010.154576	1010.154576
997.7521457	997.7521457
982.673029	982.673029
946.4085126	946.4085126
889.3807783	889.3807783
831.3286448	831.3286448
782.7412922	782.7412922
754.7533716	754.7533716
740.3990273	740.3990273
729.3398578	729.3398578
723.6184353	723.6184353
716.5086635	716.5086635
683.3241889	683.3241889
640.2166263	640.2166263
597.0056134	597.0056134
555.7217006	555.7217006
523.8273418	523.8273418
499.0921697	499.0921697
485.2415094	485.2415094
477.9311224	477.9311224
478.7677971	478.7677971
497.1926692	497.1926692
522.0414201	522.0414201
549.8529747	549.8529747
570.6844807	570.6844807
588.6777617	588.6777617
610.0301198	610.0301198
640.6492286	640.6492286
674.5894885	674.5894885
711.8266998	711.8266998
740.9700265	740.9700265
760.5059849	760.5059849
782.2225337	782.2225337
830.2243216	830.2243216
871.6730056	871.6730056
894.3261567	894.3261567
889.9133936	889.9133936
871.9597706	871.9597706
865.177617	865.177617
868.7087008	868.7087008
870.0357739	870.0357739
869.0054921	869.0054921
866.1729066	866.1729066
849.7764467	849.7764467
832.7901149	832.7901149
827.4735636	827.4735636
834.1501096	834.1501096
847.4078615	847.4078615
866.5717449	866.5717449
892.7132568	892.7132568
919.774747	919.774747
937.249486	937.249486
945.0381058	945.0381058
949.6777679	949.6777679
943.0709531	943.0709531
941.9055129	941.9055129
949.6685706	949.6685706
957.7396995	957.7396995
969.6380174	969.6380174
980.5868111	980.5868111
997.5706616	997.5706616
1022.635939	1022.635939
1045.447446	1045.447446
1070.485044	1070.485044
1082.343764	1082.343764
1094.852371	1094.852371
1109.430239	1109.430239
1127.358676	1127.358676
1145.638012	1145.638012
1155.00744	1155.00744
1155.01794	1155.01794
1163.005129	1163.005129
1174.010144	1174.010144
1184.597161	1184.597161
1193.40156	1193.40156
1212.419762	1212.419762
1230.914982	1230.914982
1241.411147	1241.411147
1247.402794	1247.402794
1250.545027	1250.545027
1255.451079	1255.451079
1298.546739	1298.546739
1343.159396	1343.159396
1395.251659	1395.251659
1437.189425	1437.189425
1464.314554	1464.314554
1491.188729	1491.188729
1512.573022	1512.573022
1524.309676	1524.309676
1529.923944	1529.923944
1534.643333	1534.643333
1540.115629	1540.115629
1553.061853	1553.061853
1575.187332	1575.187332
1591.680357	1591.680357
1602.91845	1602.91845
1614.734292	1614.734292
1627.439633	1627.439633
1647.117721	1647.117721
1646.527646	1646.527646
1620.215323	1620.215323
1597.000373	1597.000373
1585.706947	1585.706947
1592.39422	1592.39422
1623.493057	1623.493057
1651.978531	1651.978531
1673.402507	1673.402507
1691.730329	1691.730329
1704.835739	1704.835739
1707.567898	1707.567898
1707.67172	1707.67172
1706.77686	1706.77686
1692.993433	1692.993433
1706.97646	1706.97646
1738.466281	1738.466281
1766.691183	1766.691183
1795.226851	1795.226851
1814.646776	1814.646776
1829.904999	1829.904999
1847.099039	1847.099039
1859.795217	1859.795217
1866.661579	1866.661579
1870.879548	1870.879548
1877.728092	1877.728092
1884.075041	1884.075041
1902.687616	1902.687616
1932.031734	1932.031734
1949.890247	1949.890247
1954.321196	1954.321196
1949.043833	1949.043833
1930.24197	1930.24197
1906.802394	1906.802394
1887.700264	1887.700264
1882.217646	1882.217646
1885.471247	1885.471247
1880.483971	1880.483971
1871.388556	1871.388556
1856.885091	1856.885091
1861.362757	1861.362757
1879.117087	1879.117087
1894.334096	1890.137049
1899.728552	1876.916879
1913.261758	1864.152479
1936.399934	1852.960578
1956.839231	1841.868761
1981.766869	1830.564021
2007.733547	1819.385821
2048.68707	1808.200025
2095.46133	1797.049859
2139.643363	1785.558287
2175.400548	1773.872056
2199.4171	1762.236328
2205.153688	1750.843722
2201.109563	1739.775785
2196.852632	1729.22323
2196.9657	1719.13555
2200.118792	1709.261518
2200.036386	1699.44689
2196.424307	1689.697706
2195.080157	1680.173349
2196.199135	1670.911489
2195.527386	1661.763309
2195.082625	1652.691378
2183.610726	1643.796883
2168.823481	1635.044322
2158.332332	1626.711585
2140.04961	1618.669234
2129.696382	1610.696689
2120.105268	1603.064107
2108.129844	1595.434243
2095.278374	1587.904908
2083.69609	1580.578758
2090.014896	1573.428773
2099.851424	1566.39154
2100.904245	1559.035249
2103.417278	1551.613589
2113.540819	1544.474477
2125.432287	1537.418442
2129.097293	1530.245391
2126.584171	1523.061398
2130.086892	1516.887289
2137.655348	1511.779861
2151.27323	1506.65126
2168.245636	1501.418636
2181.52995	1496.064441
2190.507737	1490.637563
2199.453397	1485.309891
2209.878449	1480.124217
2221.736547	1474.985331
2228.406843	1469.842189
2228.595747	1464.690665
2231.086624	1459.686917
2230.72361	1454.895046
2227.69238	1450.122884
2216.555044	1445.455248
2184.425738	1440.913284
2134.316602	1436.628112
2091.201927	1432.933675
2056.705211	1429.836767
2029.378253	1426.775905
1993.182488	1423.626911
1922.420716	1420.413399
1878.006943	1417.496404
1874.160358	1415.524212
1869.361307	1413.228226
1862.200173	1410.049648
1856.703816	1406.841262
1851.801636	1403.758979
1845.399616	1400.694984
1840.623961	1397.649981
1834.760083	1394.674742
1830.320648	1391.707156
1835.764391	1388.793637
1841.753111	1385.88423
1852.970535	1382.78362
1870.314775	1379.659421
1892.529467	1376.433961
1914.618609	1373.060827
1938.069685	1369.553824
1960.994802	1366.016821
1982.51107	1362.428913
2003.416264	1358.822654
2017.415927	1355.223096
2028.307501	1351.618006
2040.874179	1348.143404
2052.058754	1344.746721
2070.380075	1341.319498
2099.218248	1337.914471
2118.023501	1334.362471
2122.833214	1330.556557
2130.657199	1326.910624
2134.149157	1323.579895
2128.097524	1320.229828
2122.551124	1316.965655
2114.222913	1313.93159
2104.767581	1310.944395
2094.549584	1308.045312
2079.97291	1305.216145
2071.635218	1302.446544
2070.160375	1299.811846
2083.963968	1297.107693
2092.033161	1294.283908
2099.19914	1291.158439
2113.524923	1288.117094
2127.881552	1285.121081
2154.215079	1281.987096
2179.61845	1278.829836
2210.854875	1275.427071
2238.17292	1271.990549
2259.942739	1268.418607
2267.176501	1264.878771
2262.484476	1261.433506
2251.806459	1258.273215
2237.701087	1255.388767
2223.824024	1252.672692
2226.336839	1250.071712
2233.881388	1247.516407
2238.993654	1244.681445
2237.350411	1241.729461
2230.180874	1238.830244
2225.074141	1236.083973
2220.820641	1233.4818
2215.848091	1230.879427
2212.584929	1228.281131
2211.137791	1225.7216
2211.243463	1223.15851
2212.624676	1220.58122
2223.735727	1217.991997
2249.858868	1215.394159
2274.022828	1212.625248
2293.136043	1209.552792
2312.462958	1206.467143
2335.11763	1203.466172
2358.419183	1200.505687
2376.114603	1197.898667
2382.72109	1195.262384
2380.737734	1192.606878
2375.512528	1189.955231
2370.384813	1187.325477
2365.310546	1184.723682
2360.288944	1182.149141
2355.319288	1179.601474
2350.399808	1177.079778
2345.530214	1174.583878
2340.709127	1172.113072
2335.935251	1169.66669
2331.167955	1167.241536
2326.439437	1164.820512
2321.795297	1162.442167
2317.278619	1160.128679
2312.88303	1157.877269
2308.605356	1155.686282
2304.443226	1153.55449
2300.394433	1151.480757
2296.455944	1149.463537
2292.625315	1147.501567
2288.900037	1145.59356
2285.277728	1143.738291
2281.756135	1141.934603
2278.333318	1140.181495
2275.007457	1138.478033
2271.771621	1136.820741
2268.627272	1135.210263
2265.573768	1133.64628
2262.607971	1132.127212
2259.727607	1130.651882
2256.931117	1129.219483
2254.216639	1127.829062
2251.582726	1126.479872
2249.02793	1125.171172
2246.550173	1123.901903
2244.147397	1122.671012
2241.818323	1121.477831
2239.560966	1120.321352
2237.374472	1119.201125
2235.25729	1118.116362
2233.207195	1117.065932
2231.22237	1116.048899
2229.302095	1115.06488
2227.444617	1114.112989
2225.648912	1113.192693
2223.913989	1112.303485
2222.237832	1111.444344
2220.61986	1110.614955
2219.058117	1109.814333
2217.551722	1109.042014
2216.099489	1108.297393
2214.700574	1107.580036
2213.353139	1106.889012
2212.056397	1106.223906
2210.809243	1105.584156
2209.610626	1104.969223
2208.459812	1104.378728
2207.349076	1103.808826
2206.282044	1103.261235
2205.259191	1102.736216
2204.279873	1102.233448
2203.343157	1101.752459
2202.447766	1101.292599
2201.593148	1100.853575
2200.778386	1100.434924
2200.002629	1100.036209
2199.265309	1099.657136
2198.564976	1099.296976
2197.899374	1098.954591
2197.26952	1098.630459
2187.554401	1098.324184
2038.505369	1098.035372
1868.881286	1097.780149
1713.8023	1099.427695
1581.960066	1103.409451
1471.042377	1108.1632
1399.781944	1113.266162
1337.268149	1118.6589
1284.771678	1123.868443
1242.686735	1129.220291
1211.534874	1134.501841
1186.389376	1139.679145
1155.761738	1144.731803
1129.311955	1129.311955
1118.8184	1118.8184
1120.24681	1120.24681
1124.293209	1124.293209
1128.059933	1128.059933
1139.268439	1139.268439
1151.95094	1151.95094
1160.975521	1160.975521
1166.568811	1166.568811
1170.897662	1170.897662
1172.763717	1172.763717
1159.049881	1159.049881
1136.604181	1136.604181
1121.110554	1121.110554
1114.66305	1114.66305
1112.104466	1112.104466
1113.601503	1113.601503
1118.713612	1118.713612
1124.862039	1124.862039
1132.232507	1132.232507
1142.280856	1142.280856
1149.783228	1149.783228
1150.299092	1150.299092
1155.334541	1155.334541
1167.40445	1167.40445
1174.145769	1174.145769
1171.235578	1171.235578
1166.820958	1166.820958
1166.886829	1166.886829
1166.874507	1166.874507
1166.738089	1166.738089
1165.703617	1165.703617
1168.710117	1168.710117
1170.095981	1170.095981
1171.216145	1171.216145
1177.893658	1177.893658
1202.883199	1202.883199
1252.351259	1252.351259
1287.191778	1287.191778
1335.511409	1333.876028
1368.123016	1336.211411
1402.858586	1337.090975
1423.919325	1339.329592
1436.040215	1341.482087
1476.426415	1343.658703
1514.04013	1345.898014
1535.185937	1347.415926
1543.413716	1348.671214
1557.795291	1350.063068
1572.260664	1351.632366
1597.454518	1353.013898
1616.178392	1354.273575
1626.814114	1355.189812
1630.583003	1356.067379
1632.447699	1357.019897
1629.777939	1358.068268
1622.787964	1359.138224
1615.966976	1360.292921
